organization_id,start_date,type
YJ0QR3,2021-02-19,corporation
UZJ73Q,2022-04-27,corporation
2T1HMP,2021-12-11,llc
WAO889,2021-11-15,corporation
S94CQB,2020-04-25,nonprofit
J8C9F9,2021-06-12,corporation
D8G0Q5,2021-10-18,llc
JLXRGA,2022-11-30,corporation
JI8UZY,2021-01-15,corporation
UNJ7U8,2020-08-24,llc
VFR95L,2020-08-15,corporation
6ENQ7E,2022-04-22,llc
76OQME,2021-05-29,corporation
XT6NGQ,2020-12-08,corporation
8OF4EY,2022-05-07,nonprofit
8ZZY12,2021-12-05,corporation
2SGWFR,2021-02-06,corporation
9S2GJ1,2022-07-25,nonprofit
9G94O4,2022-11-20,llc
QI395J,2020-09-04,llc
MBCD4P,2022-12-13,nonprofit
1H800Y,2020-01-12,corporation
TXO7FK,2020-01-15,llc
O2Y6MV,2022-02-17,llc
NKPKVG,2021-01-30,corporation
85CHCI,2022-05-01,corporation
UBN5Y3,2021-11-18,corporation
0INEY8,2022-07-25,nonprofit
AD9KRT,2020-10-23,corporation
RRL30W,2021-10-25,llc
3ECWPZ,2020-06-11,llc
QYXOVL,2022-08-29,corporation
KYU79D,2021-12-11,nonprofit
3JYH49,2022-11-15,llc
FVXQSP,2022-01-10,corporation
7T6I50,2022-04-06,llc
K87PGL,2020-05-26,llc
BACCM5,2020-08-13,corporation
R3TH51,2022-03-21,corporation
T1NZHM,2022-08-27,corporation
GZC4Z3,2021-07-17,corporation
P3ZCDC,2020-06-23,corporation
INAKOO,2022-06-09,nonprofit
VQWNO3,2021-12-10,corporation
GBESQW,2022-03-08,corporation
N2JFKL,2021-09-08,llc
8K6V37,2021-10-22,nonprofit
CZB626,2022-09-29,corporation
N6RH1N,2022-07-29,corporation
OQS1UM,2022-03-02,llc
